Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
2023-10-04, 09:35:49,14.9549583,-24.6444533,24,4,1.8,2.1,27,0,40,32,39
2023-10-04, 09:40:19,14.9542117,-24.6445233,34,4,1.9,2.1,24,50.004,11,36,41
2023-10-04, 09:45:20,14.95827,-24.63538,62,4,2,2.2,23,27.78,12,38,41
2023-10-04, 09:50:19,14.9712017,-24.6234017,68,4,2.1,2.3,24,20.372,11,38,42
2023-10-04, 09:55:19,14.9806933,-24.6127567,70,4,2.3,2.5,24,22.224,11,38,41
2023-10-04, 10:00:19,14.9959417,-24.6094083,68,4,2.4,2.6,25,22.224,11,38,41
2023-10-04, 10:05:19,14.9897817,-24.5885783,52,4,2.6,2.8,24,50.004,11,38,42
2023-10-04, 10:11:00,14.9530883,-24.5672933,82,7,1.2,1.4,24,50.004,52,35,42
2023-10-04, 10:15:19,14.929735,-24.55276,88,11,0.8,1.1,23,50.004,11,37,42
2023-10-04, 10:20:19,14.907145,-24.5472683,118,11,0.8,1.1,24,62.968,11,37,41
2023-10-04, 10:25:19,14.8883017,-24.522745,142,10,0.9,1.2,24,35.188,11,37,40
2023-10-04, 10:30:19,14.8652883,-24.51827,164,10,0.8,1.2,26,46.3,11,37,41
2023-10-04, 10:35:19,14.8403917,-24.5032017,112,11,0.8,1.1,26,40.744,11,36,41
2023-10-04, 10:40:19,14.8109717,-24.4929183,82,8,1,1.4,26,42.596,11,39,42
2023-10-04, 10:45:19,14.7819733,-24.4833083,92,10,0.8,1.1,27,42.596,11,36,41
2023-10-04, 10:50:19,14.760935,-24.4687667,30,10,0.8,1.1,25,42.596,11,37,42
2023-10-04, 10:55:19,14.7463183,-24.4589067,16,11,0.8,1.1,25,1.852,12,36,42
2023-10-04, 11:00:19,14.7469283,-24.45744,16,11,0.7,1.1,24,1.852,11,38,43
2023-10-04, 11:05:19,14.7474533,-24.4562333,18,11,0.7,1.1,26,1.852,11,36,43
2023-10-04, 11:10:19,14.7477067,-24.4517183,20,11,0.7,1.1,25,1.852,11,37,43
2023-10-04, 11:15:19,14.748095,-24.4505117,24,11,0.7,1.1,24,1.852,11,38,44
2023-10-04, 11:20:19,14.7483533,-24.44831,22,11,0.7,1.1,25,38.892,11,37,42
2023-10-04, 11:25:19,14.7460533,-24.445095,20,10,0.8,1.1,25,1.852,11,38,44
2023-10-04, 11:30:19,14.74416,-24.4415667,20,11,0.7,1.1,25,0,11,38,44
2023-10-04, 11:35:19,14.7443333,-24.4404467,16,10,0.8,1.1,24,0,11,37,42
2023-10-04, 11:40:19,14.7444817,-24.4390983,20,10,0.8,1.1,25,1.852,11,39,44
2023-10-04, 11:45:19,14.7448617,-24.4375633,22,9,0.9,1.2,26,1.852,11,39,45
2023-10-04, 11:50:19,14.7453233,-24.4360917,20,10,0.8,1.1,27,1.852,11,37,45
2023-10-04, 11:55:19,14.745645,-24.4347217,20,10,0.8,1.1,27,0,11,37,44
2023-10-04, 12:00:19,14.7460383,-24.4332683,22,9,0.8,1.1,26,1.852,11,37,45
2023-10-04, 12:05:19,14.746275,-24.43178,24,10,0.8,1.1,26,0,11,38,44
2023-10-04, 12:10:19,14.7464583,-24.4303333,20,10,0.8,1.1,26,1.852,11,38,45
2023-10-04, 12:15:19,14.747365,-24.4318533,14,10,0.8,1.1,26,3.704,11,38,45
2023-10-04, 12:20:19,14.7427233,-24.4337233,20,10,0.8,1.1,26,0,11,37,45
2023-10-04, 12:25:19,14.7430633,-24.432145,20,10,0.8,1.1,27,1.852,11,37,43
2023-10-04, 12:30:19,14.743115,-24.43066,22,9,0.9,1.2,26,1.852,11,40,43
2023-10-04, 12:35:19,14.7430067,-24.4284883,20,9,0.9,1.2,26,1.852,11,39,44
2023-10-04, 12:40:19,14.7430683,-24.4269483,20,9,0.9,1.2,26,0,11,39,44
2023-10-04, 12:45:19,14.7487883,-24.4291083,38,9,0.9,1.2,26,31.484,11,37,41
2023-10-04, 12:50:19,14.7565667,-24.4293033,26,9,0.9,1.2,28,0,11,38,45
2023-10-04, 12:55:19,14.7566583,-24.4278033,26,8,1,1.3,27,0,11,38,45
2023-10-04, 13:00:19,14.7565433,-24.4263083,36,9,1,1.3,27,1.852,11,38,44
2023-10-04, 13:05:25,14.7550667,-24.4255583,42,8,1,1.3,28,1.852,17,38,43
2023-10-04, 13:10:19,14.7550317,-24.4241033,36,8,1,1.3,28,1.852,11,38,45
2023-10-04, 13:15:19,14.755175,-24.422615,28,8,1.1,1.4,28,1.852,11,38,45
2023-10-04, 13:20:19,14.7553067,-24.4211683,30,8,1.1,1.4,28,1.852,11,39,45
2023-10-04, 13:25:19,14.7552267,-24.4195783,34,8,1.1,1.4,28,1.852,11,39,45
2023-10-04, 13:30:19,14.755105,-24.4183917,40,8,1.2,1.4,28,25.928,11,38,40
2023-10-04, 13:35:19,14.7546583,-24.417005,34,8,1.2,1.5,28,1.852,11,38,44
2023-10-04, 13:40:19,14.74396,-24.417455,32,8,1.2,1.5,26,1.852,11,37,42
2023-10-04, 13:45:19,14.74379,-24.4158717,36,8,1.3,1.5,26,3.704,11,38,43
2023-10-04, 13:50:19,14.743625,-24.4141517,34,9,1.2,1.5,28,1.852,11,36,42
2023-10-04, 13:55:19,14.7433383,-24.4124633,32,8,1.4,1.6,26,1.852,11,37,42
2023-10-04, 14:00:10,14.7433067,-24.410805,36,7,1.6,1.8,26,0,2,36,42
2023-10-04, 14:05:11,14.74333,-24.40899,60,6,1.8,2,27,0,3,37,42
2023-10-04, 14:10:10,14.7433,-24.4072733,62,6,1.8,2,27,0,2,38,42
2023-10-04, 14:15:13,14.7434217,-24.4057683,30,6,1.9,2.1,27,1.852,5,37,42
2023-10-04, 14:20:10,14.7432783,-24.4039867,28,6,2.1,2.3,28,3.704,2,39,42
2023-10-04, 14:25:14,14.7432617,-24.4021917,40,6,2.2,2.4,27,1.852,6,37,42
2023-10-04, 14:30:19,14.7436317,-24.4004367,58,5,2.9,3,27,1.852,11,36,42
2023-10-04, 14:35:13,14.7440267,-24.39872,58,7,1.7,1.9,28,0,5,37,41
2023-10-04, 14:40:19,14.7446717,-24.3973233,40,7,1.8,1.9,29,1.852,11,35,41
2023-10-04, 14:45:09,14.744985,-24.3959933,40,5,3.9,4,27,3.704,1,28,30
2023-10-04, 14:50:24,14.7452267,-24.39456,38,7,2,2.4,26,0,15,37,42
2023-10-04, 14:55:30,14.7418217,-24.3958567,36,7,1.8,1.9,26,0,21,37,43
2023-10-04, 15:00:31,14.7421933,-24.3944033,26,6,2.1,2.3,26,1.852,22,38,44
2023-10-04, 15:05:15,14.7361933,-24.3923767,80,7,1.8,1.9,25,38.892,6,36,41
2023-10-04, 15:10:16,14.717085,-24.3821,108,6,2.1,2.3,27,42.596,8,35,39
2023-10-04, 15:15:10,14.6996583,-24.365595,30,5,2.8,2.9,28,40.744,2,34,37
2023-10-04, 15:20:16,14.67221,-24.3401833,56,6,2,2.2,28,59.264,8,35,39
2023-10-04, 15:25:15,14.666755,-24.3353633,42,6,2,2.2,27,0,7,37,40
2023-10-04, 15:30:15,14.6660917,-24.3342733,36,6,2,2.2,27,0,7,36,41
2023-10-04, 15:35:15,14.6654167,-24.3331667,38,5,2.2,2.4,26,1.852,7,37,42
2023-10-04, 15:40:22,14.664735,-24.3322417,40,6,2,2.2,26,0,13,36,41
2023-10-04, 15:45:13,14.6638517,-24.3312867,40,6,2,2.2,26,1.852,5,33,41
2023-10-04, 15:50:25,14.6629433,-24.3304517,50,5,2.1,2.3,26,0,16,34,40
2023-10-04, 15:55:23,14.6621067,-24.329555,72,5,2.1,2.3,26,0,14,36,40
2023-10-04, 16:00:22,14.65954,-24.3285817,30,5,2.1,2.3,26,1.852,13,36,42
2023-10-04, 16:05:21,14.6585767,-24.327565,44,5,2,2.3,26,0,12,37,42
2023-10-04, 16:10:26,14.6577517,-24.326725,54,5,2,2.3,26,1.852,18,35,40
2023-10-04, 16:15:19,14.656805,-24.3260317,42,5,2,2.3,26,0,11,37,43
2023-10-04, 16:20:19,14.6557967,-24.3249,54,5,2.1,2.3,26,1.852,11,35,42
2023-10-04, 16:25:19,14.6548017,-24.32372,48,5,2.1,2.3,26,3.704,11,37,42
2023-10-04, 16:30:19,14.6539283,-24.3233017,-2,5,2.1,2.3,26,3.704,11,37,43
2023-10-04, 16:35:19,14.6528183,-24.3217383,42,5,2.2,2.4,26,1.852,11,36,42
2023-10-04, 16:40:19,14.6519233,-24.321705,-26,4,5.6,5.7,26,0,11,37,41
2023-10-04, 16:45:21,14.6504617,-24.3192533,44,5,2.3,2.5,26,7.408,13,36,42
2023-10-04, 16:50:19,14.6494167,-24.31882,-4,4,5.8,5.8,26,0,11,34,40
2023-10-04, 16:55:30,14.6478783,-24.3160783,52,5,1.3,1.6,26,3.704,22,34,40
2023-10-04, 17:00:09,14.646775,-24.314785,50,6,1.2,1.5,26,0,1,37,41
2023-10-04, 17:05:09,14.645515,-24.3132983,52,6,1.2,1.5,25,9.26,1,35,39
2023-10-04, 17:10:09,14.63605,-24.3055483,98,6,1.2,1.6,24,61.116,1,36,41
2023-10-04, 17:15:11,14.5974317,-24.28057,52,5,1.4,1.7,26,57.412,3,37,40
2023-10-04, 17:20:09,14.5935767,-24.276555,56,5,1.4,1.7,26,3.704,1,34,41
2023-10-04, 17:25:10,14.5920217,-24.2753417,118,5,1.4,1.7,26,0,2,35,39
2023-10-04, 17:30:11,14.5913383,-24.2749083,28,5,1.4,1.7,26,1.852,3,35,42
2023-10-04, 17:35:13,14.5902167,-24.2741833,30,5,1.4,1.7,26,1.852,5,34,38
2023-10-04, 17:40:11,14.589385,-24.2736083,22,4,1.6,1.8,26,0,3,37,42
2023-10-04, 17:45:50,14.5878333,-24.2723317,34,5,1.4,1.6,25,0,42,36,42
2023-10-04, 17:50:19,14.5810867,-24.26472,64,5,1.4,1.6,24,25.928,11,36,41
2023-10-04, 17:55:19,14.5523333,-24.2470333,92,5,1.4,1.6,25,79.636,11,37,41
2023-10-04, 18:00:19,14.5106517,-24.238315,106,5,1.4,1.6,25,79.636,11,37,42
2023-10-04, 18:05:54,14.4895,-24.2306267,66,6,1.6,1.8,24,62.968,46,37,41
2023-10-04, 18:10:19,14.4552617,-24.2200167,128,5,1.7,2,25,53.708,11,37,40
2023-10-04, 18:15:19,14.4209667,-24.21598,104,5,1.8,2,25,72.228,11,36,40
2023-10-04, 18:20:19,14.385685,-24.2137933,132,5,1.8,2,24,70.376,11,37,41
2023-10-04, 18:25:19,14.3549233,-24.1961917,94,5,1.8,2,24,59.264,11,36,40
2023-10-04, 18:30:19,14.3189033,-24.16775,100,4,2.8,3,25,53.708,11,37,41
2023-10-04, 18:35:19,14.2910967,-24.15867,40,5,1.7,1.9,25,25.928,11,37,40
2023-10-04, 18:40:19,14.287735,-24.15128,30,5,1.6,1.9,25,1.852,11,38,42
2023-10-04, 18:45:19,14.28655,-24.150135,36,5,1.6,1.8,24,1.852,11,35,40
2023-10-04, 18:50:19,14.2853083,-24.1489733,24,5,1.5,1.7,25,0,11,37,42
2023-10-04, 18:55:19,14.28415,-24.14741,34,5,1.4,1.7,25,3.704,11,34,38
2023-10-04, 19:00:19,14.2830483,-24.1460117,8,5,1.4,1.6,25,1.852,11,35,40
2023-10-04, 19:05:19,14.2780333,-24.1364183,20,5,1.3,1.6,24,0,11,33,39
2023-10-04, 19:10:19,14.2770817,-24.1352583,12,4,1.9,2.1,24,1.852,11,36,41
2023-10-04, 19:15:19,14.276015,-24.1342567,10,4,1.8,2,24,1.852,11,35,40
2023-10-04, 19:20:20,14.274955,-24.1329467,6,5,1.2,1.5,24,5.556,12,34,40
2023-10-04, 19:25:26,14.2739933,-24.131675,126,3,2.8,3,24,0,18,37,39
2023-10-04, 19:30:19,14.2731167,-24.1307017,8,4,1.5,1.8,24,0,11,36,43
2023-10-04, 19:35:22,14.2528317,-24.1155433,56,4,1.4,1.7,22,55.56,14,36,42
2023-10-04, 19:40:19,14.2171883,-24.094575,68,4,1.4,1.7,22,55.56,11,37,41
2023-10-04, 19:45:19,14.192,-24.073825,70,4,1.3,1.7,22,44.448,11,36,41
2023-10-04, 19:50:19,14.1709833,-24.0484383,-8,4,1.3,1.6,23,27.78,11,37,40
2023-10-04, 19:55:28,14.1591483,-24.0343483,46,4,1.3,1.6,23,53.708,20,37,40
2023-10-04, 20:00:19,14.1443033,-24.01672,38,4,1.3,1.6,23,37.04,11,38,41
2023-10-04, 20:05:19,14.14708,-24.0031183,58,4,1.3,1.6,23,35.188,11,37,40
2023-10-04, 20:10:19,14.1460817,-23.99569,10,4,1.2,1.6,24,1.852,11,38,43
2023-10-04, 20:15:19,14.1450733,-23.9949217,-4,4,1.2,1.6,24,1.852,11,38,42
2023-10-04, 20:20:19,14.1439767,-23.9940533,18,4,1.2,1.6,24,1.852,11,36,42
2023-10-04, 20:25:31,14.1397133,-23.9929033,58,4,1.2,1.6,23,53.708,23,37,42
2023-10-04, 20:30:20,14.1258983,-23.9918183,6,4,1.3,1.6,23,0,12,38,42
2023-10-04, 20:36:01,14.12487,-23.9909417,12,7,1,2,24,0,52,36,42
2023-10-04, 20:40:09,14.1241217,-23.9902383,12,7,0.9,1.3,24,1.852,1,36,42
2023-10-04, 20:45:10,14.1232283,-23.98928,4,7,0.9,1.3,24,1.852,2,34,40
2023-10-04, 20:50:09,14.12236,-23.9883883,20,7,0.9,1.3,24,1.852,1,36,42
2023-10-04, 20:55:09,14.1213733,-23.9876233,4,6,1.1,1.4,24,0,1,31,37
2023-10-04, 21:00:09,14.1204233,-23.9868733,10,7,0.9,1.3,24,1.852,1,35,41
2023-10-04, 21:05:09,14.1195567,-23.9859367,10,6,1.1,1.4,24,0,1,38,42
2023-10-04, 21:10:10,14.1186667,-23.9849717,12,6,1.1,1.4,24,0,2,37,42
2023-10-04, 21:15:14,14.1178033,-23.98383,26,5,1.6,1.8,24,1.852,6,32,41
2023-10-04, 21:20:09,14.1167317,-23.9830433,26,6,1.1,1.4,24,3.704,1,36,41
2023-10-04, 21:25:11,14.1157967,-23.9821333,16,6,1.1,1.4,24,1.852,3,35,39
2023-10-04, 21:30:09,14.114735,-23.9812617,24,5,1.2,1.5,24,0,1,36,42
2023-10-04, 21:35:10,14.1136517,-23.98019,36,6,1.1,1.4,24,1.852,2,34,39
2023-10-04, 21:40:09,14.1071583,-23.97648,34,6,1.1,1.4,23,3.704,1,37,41
2023-10-04, 21:45:09,14.10605,-23.9756483,50,5,1.1,1.5,24,3.704,1,35,39
2023-10-04, 21:50:09,14.1049817,-23.9744167,138,5,1.3,1.6,24,3.704,1,36,41
2023-10-04, 21:55:09,14.1038767,-23.9737767,90,6,1.1,1.4,24,0,1,34,38
2023-10-04, 22:00:09,14.102715,-23.9732567,54,6,1.1,1.4,24,1.852,1,37,41
2023-10-04, 22:05:09,14.1017,-23.973055,-102,5,1.2,1.6,24,1.852,1,29,36
2023-10-04, 22:10:09,14.100015,-23.971755,116,6,1,1.4,24,5.556,1,30,36
2023-10-04, 22:15:09,14.098965,-23.9712467,66,5,1.4,1.7,24,11.112,1,31,39
2023-10-04, 22:20:09,14.0976233,-23.9704683,94,6,1,1.4,24,7.408,1,34,40
2023-10-04, 22:25:09,14.0964117,-23.9698883,58,6,1.1,1.4,24,5.556,1,32,39
2023-10-04, 22:30:09,14.0951,-23.96928,78,6,1.1,1.4,24,3.704,1,35,39
2023-10-04, 22:35:10,14.0940183,-23.9689283,0,6,1.1,1.4,24,3.704,2,30,34
2023-10-04, 22:40:19,14.0928267,-23.9684067,40,6,1.1,1.4,24,1.852,11,34,38
2023-10-04, 22:45:33,14.0929517,-23.9689983,54,6,1.1,1.4,24,0,25,34,40
2023-10-04, 22:50:20,14.09184,-23.9684167,84,6,1.1,1.4,24,1.852,12,33,42
2023-10-04, 22:55:20,14.0905917,-23.9679567,84,6,1.1,1.4,24,1.852,12,36,42
2023-10-04, 23:00:34,14.0866617,-23.9664233,80,6,1.1,1.5,24,1.852,26,32,40
2023-10-04, 23:05:25,14.086895,-23.9678217,44,6,1.1,1.5,24,0,17,33,40
2023-10-04, 23:10:19,14.0856867,-23.9673083,64,6,1.1,1.5,24,0,11,33,39
2023-10-04, 23:15:25,14.0845083,-23.9668633,108,4,1.4,1.7,24,3.704,17,33,40
2023-10-04, 23:20:25,14.0835033,-23.96678,60,4,1.4,1.7,24,1.852,17,34,40
2023-10-04, 23:25:26,14.08239,-23.9665267,52,5,1.2,1.6,24,1.852,18,34,41
2023-10-04, 23:30:25,14.08131,-23.966245,40,4,1.4,1.7,24,1.852,17,35,40
2023-10-04, 23:35:31,14.0800783,-23.9657183,90,4,1.4,1.7,24,1.852,23,29,36
2023-10-04, 23:40:19,14.0789683,-23.9654,52,4,1.4,1.7,24,0,11,35,42
2023-10-04, 23:45:32,14.0777533,-23.9650783,-30,4,2.3,2.5,24,0,24,34,40
2023-10-04, 23:50:25,14.076335,-23.9644533,0,5,1.3,1.6,24,1.852,17,36,41
2023-10-04, 23:55:46,14.07512,-23.9639367,16,5,1.3,1.6,24,3.704,38,34,42
2023-10-05, 00:05:29,14.0721983,-23.963025,14,5,1.3,1.7,24,1.852,21,24,29
2023-10-05, 00:15:51,14.0673033,-23.96047,-2,4,1.5,1.8,24,1.852,43,34,40
2023-10-05, 00:25:35,14.0645117,-23.95973,4,5,1.5,1.8,24,3.704,27,34,39
2023-10-05, 00:30:37,14.063265,-23.9595583,24,4,1.8,2,24,3.704,28,33,39
2023-10-05, 01:16:01,14.0507167,-23.9569233,38,5,1.3,1.6,24,1.852,52,33,38
2023-10-05, 01:20:26,14.04976,-23.9566833,38,5,1.4,1.6,24,1.852,18,31,38
2023-10-05, 01:25:25,14.0484383,-23.9564067,38,4,1.5,1.8,24,0,17,28,35
2023-10-05, 01:30:35,14.0472733,-23.9562517,22,4,1.6,1.8,24,1.852,26,31,36
